user,mean_accuracy,std_accuracy
1,0.99,0.029999999999999992
2,1.0,0.0
3,1.0,0.0
4,1.0,0.0
5,1.0,0.0
6,1.0,0.0
7,1.0,0.0
8,1.0,0.0
9,1.0,0.0
10,0.9800000000000001,0.039999999999999994
