user,mean_accuracy,std_accuracy
1,1.0,0.0
2,0.97,0.09000000000000001
3,1.0,0.0
4,0.9800000000000001,0.039999999999999994
5,0.99,0.029999999999999992
6,1.0,0.0
7,1.0,0.0
8,1.0,0.0
9,1.0,0.0
10,1.0,0.0
average,0.9940000000000001,
std,0.010198039027185562,
