user,mean_accuracy,std_accuracy
1,0.95,0.04999999999999999
2,1.0,0.0
3,0.9800000000000001,0.039999999999999994
4,0.99,0.029999999999999992
5,0.93,0.045825756949558386
6,0.95,0.04999999999999999
7,0.96,0.04898979485566356
8,0.96,0.04898979485566354
9,1.0,0.0
10,0.9700000000000001,0.04582575694955839
average,0.969,
std,0.022113344387495987,
